ID,Is_Lead
VBENBARO,0.047149609481307676
CCMEWNKY,0.9064519225148568
VK3KGA9M,0.08558729729789272
TT8RPZVC,0.03077180205703349
SHQZEYTZ,0.03262915531837674
MZZAQMPT,0.09397918722669749
Y88TW36I,0.08441110560234488
3UGOAQNU,0.07265659249895381
VVUKMUJT,0.9934316650930279
9R363ZXS,0.17613601506434592
BLISM6JE,0.08615918833799871
CH8S7JK7,0.3163247615817525
EAHDPXEJ,0.8200969979789019
BNUK9PRF,0.3846916649847074
GP2PG6FJ,0.07261787471266173
WNQCSN8A,0.05085285528156899
32DN4YVZ,0.4987979621237525
GXAMDANM,0.0723411638225376
MXETLUP4,0.09435411895234751
MPXK6TVE,0.8570709070252932
LBSIME2K,0.1767763640745703
D6ORJTM6,0.06333642934612715
HGDIBAKA,0.8593967214618738
UUZYL9DZ,0.48055120233664395
AUGE3VWK,0.07047037076644527
MX7GOX6Q,0.12255217456924458
TQN6K35W,0.10666786426284797
QQDRMQQN,0.5623492907079242
UP6GC6F4,0.06352683867899538
BMHBUVHB,0.6470492066880773
KGLDW86A,0.16972409052013232
FQEOMOP4,0.1475947170745916
DYWM5MEU,0.23170798753895577
DXHGXV8F,0.06451628003901345
AVFBFQKC,0.20122905827886794
DBIDKYMV,0.14721628525097583
KYZHMEBY,0.2975983243069319
SSFEBUGF,0.07154486026387011
MGJTAG8X,0.5292082302459589
MP6BERDO,0.23543881331988467
GXZ8ED68,0.07122811879001724
ICTFGWQR,0.6430715635517513
EAYHTRKH,0.029705868642587764
6FN97QLQ,0.10899709595553819
3H5MZDDW,0.419473201948123
2DXZZWSN,0.050318828912995855
MM4QIRE5,0.11824113352083972
HJWVYXUA,0.17803702823887174
RBRSJUP3,0.7890883671938034
YFRQKGXW,0.441125093674798
N3SADEBV,0.0729951522205789
G2A2YYXY,0.054346630680318
XMGA3WT3,0.08257383451834899
KVZQPSGI,0.2167819637133603
UAKARBBG,0.05392224348098598
WYKKL85Z,0.30778633846609715
GHNYYGRR,0.16497777435566024
UBAJANWT,0.06936041975637826
LSARSF7U,0.02604256752898219
4CNSJVVR,0.28891116980716725
JRHJSWYO,0.34717036512567334
FHZ8SVVI,0.08838022814205665
JUIRE47M,0.8786428032880967
GDIVN2GL,0.08650867764232836
WMF3DYE3,0.822231615008374
MAQEHEWK,0.1958762295508637
2W8DLKFU,0.07501973430468767
AKGRML6H,0.1659742141254132
B7WUUGCY,0.06034570385004145
TLJOYATM,0.5094051504017393
UH6ZDM3W,0.8784089436271156
7IP5SSRR,0.8296599210668453
PV85PMEB,0.5993443660801024
FGDOY4NI,0.15417942321112998
7YYIXJQE,0.07742105878605471
BHW42XPW,0.059321721929337726
3PKEEAT4,0.353905019813812
ACFPZ3LM,0.07535579730288847
6GORGNYN,0.8445482137262864
AEPQTMJK,0.3407299638323026
S6FNZFKK,0.07790417743321174
JTYNEKRQ,0.7402633101180326
GPXDPHHC,0.07752725288384726
O8TMKNNB,0.0566675502988204
XSQVHKYG,0.07541080759203156
MJ3CZRAE,0.02965828876061719
